#Name	TPM
TRINITY_g586_i1_1	0.000000
TRINITY_g587_i1_1	0.000000
TRINITY_g588_i1_1	0.000000
TRINITY_g589_i1_1	0.000000
TRINITY_g589_i1_2	0.000000
TRINITY_g590_i1_1	0.000000
TRINITY_g590_i1_2	0.000000
TRINITY_g591_i1_1	0.000000
TRINITY_g592_i1_1	0.000000
TRINITY_g593_i1_1	0.000000
TRINITY_g594_i1_1	0.000000
TRINITY_g595_i1_1	0.880300
TRINITY_g596_i1_1	0.000000
TRINITY_g597_i1_1	0.000000
TRINITY_g598_i1_1	0.000000
TRINITY_g599_i1_1	0.000000
TRINITY_g601_i1_1	0.000000
TRINITY_g601_i1_2	0.000000
TRINITY_g602_i1_1	0.000000
TRINITY_g603_i1_1	0.000000
TRINITY_g604_i1_1	0.000000
TRINITY_g605_i1_1	0.000000
TRINITY_g606_i1_1	0.000000
TRINITY_g607_i1_1	0.000000
TRINITY_g608_i1_1	6.877853
TRINITY_g609_i1_1	0.000000
TRINITY_g609_i1_2	0.000000
TRINITY_g610_i1_1	0.000000
TRINITY_g610_i1_2	0.000000
TRINITY_g611_i1_1	0.000000
TRINITY_g612_i1_1	1.080441
TRINITY_g613_i1_1	0.000000
TRINITY_g614_i1_1	0.000000
TRINITY_g615_i1_1	0.000000
TRINITY_g616_i1_1	2.012715
TRINITY_g617_i1_1	0.000000
TRINITY_g618_i1_1	0.000000
TRINITY_g619_i1_1	0.000000
